Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
topic_3372,SWO_9000056,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/organization,0
format_3508,SWO_3000015,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_2376,SWO_3000006,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3618,SWO_3000051,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
Configuration,ConfigurationInfo,False,False,https://w3id.org/reproduceme,http://purl.org/net/wicus-stack,0
Version,Version,True,False,https://w3id.org/reproduceme,http://purl.org/net/wicus-stack,0
Algorithm,Algorithm,True,False,https://w3id.org/function/ontology,https://w3id.org/reproduceme,0
Output,Output,True,False,https://w3id.org/function/ontology,https://w3id.org/reproduceme,0
Function,Function,True,False,https://w3id.org/function/ontology,https://w3id.org/reproduceme,0
Parameter,Parameter,True,False,https://w3id.org/function/ontology,https://w3id.org/reproduceme,0
Algorithm,IAO_0000064,False,True,https://w3id.org/function/ontology,http://purl.obolibrary.org/obo,1
implements,SWO_0000740,False,False,https://w3id.org/function/ontology,http://www.ebi.ac.uk/efo/swo,0.7
OperatingSystem,OperatingSystem,True,False,http://dockerpedia.inf.utfsm.cl/vocab,https://w3id.org/reproduceme,1
Image,Image,True,False,http://dockerpedia.inf.utfsm.cl/vocab,https://w3id.org/reproduceme,1
Version,Version,True,True,http://purl.org/net/wicus-stack,https://w3id.org/reproduceme,1
data_2600,Network,False,False,http://edamontology.org,http://purl.org/net/wicus-hwspecs,0
OperatingSystem,OperatingSystem,True,True,http://dockerpedia.inf.utfsm.cl/vocab,https://w3id.org/reproduceme,1
Image,Image,True,True,http://dockerpedia.inf.utfsm.cl/vocab,https://w3id.org/reproduceme,1
Version,Version,True,True,http://purl.org/net/wicus-stack,https://w3id.org/reproduceme,1
hasInputVar,isInputVarOf,False,False,http://purl.org/net/p-plan,http://purl.org/net/p-plan,0
License,License,True,False,https://w3id.org/reproduceme,http://purl.org/net/wicus-stack,0
Version,Version,True,True,https://w3id.org/reproduceme,http://purl.org/net/wicus-stack,0
Configuration,ConfigurationInfo,False,True,https://w3id.org/reproduceme,http://purl.org/net/wicus-stack,0
operation_2429,Mapping,False,False,http://edamontology.org,https://w3id.org/function/ontology,0
Algorithm,IAO_0000064,False,True,https://w3id.org/function/ontology,http://purl.obolibrary.org/obo,1
data_1881,Author,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
operation_3429,Generation,False,False,http://edamontology.org,http://www.w3.org/ns/prov,0
data_2131,OperatingSystem,False,True,http://edamontology.org,https://w3id.org/reproduceme,0
topic_0203,Expression,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_2531,Protocol,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
data_1026,GeneSymbol,False,False,http://edamontology.org,https://w3id.org/reproduceme,0
